city_name,cloudiness,atmosphere,snow,thunderstorm,rain,sunrise,sunset,creation_date
Porto,N/A,neblina,N/A,N/A,N/A,"2019-01-15 07:57:23.000000","2019-01-15 17:31:00.000000","2019-01-15 19:05:00.000000"
Porto,"algumas nuvens",N/A,N/A,N/A,N/A,"2019-01-15 07:57:22.000000","2019-01-15 17:31:03.000000","2019-01-15 20:04:59.000000"
Porto,"nuvens quebrados",N/A,N/A,N/A,N/A,"2019-01-15 07:57:20.000000","2019-01-15 17:31:06.000000","2019-01-15 21:04:58.000000"
Porto,"algumas nuvens",N/A,N/A,N/A,N/A,"2019-01-15 07:57:19.000000","2019-01-15 17:31:09.000000","2019-01-15 22:04:58.000000"
Porto,"nuvens quebrados",N/A,N/A,N/A,N/A,"2019-01-15 07:57:18.000000","2019-01-15 17:31:12.000000","2019-01-15 23:04:58.000000"
Porto,N/A,névoa,N/A,N/A,N/A,"2019-01-16 07:57:17.000000","2019-01-16 17:31:15.000000","2019-01-16 00:04:59.000000"
Porto,"nuvens dispersas",N/A,N/A,N/A,N/A,"2019-01-16 07:57:16.000000","2019-01-16 17:31:18.000000","2019-01-16 01:04:58.000000"
Porto,"nuvens quebrados",N/A,N/A,N/A,N/A,"2019-01-16 07:57:15.000000","2019-01-16 17:31:20.000000","2019-01-16 02:04:58.000000"
Porto,"nuvens quebrados",N/A,N/A,N/A,N/A,"2019-01-16 07:57:14.000000","2019-01-16 17:31:23.000000","2019-01-16 03:04:58.000000"
Porto,"nuvens quebrados",N/A,N/A,N/A,N/A,"2019-01-16 07:57:13.000000","2019-01-16 17:31:26.000000","2019-01-16 04:04:58.000000"
Porto,"nuvens quebrados",N/A,N/A,N/A,N/A,"2019-01-16 07:57:10.000000","2019-01-16 17:31:32.000000","2019-01-16 06:04:59.000000"
Porto,"nuvens quebrados",N/A,N/A,N/A,N/A,"2019-01-16 07:57:03.000000","2019-01-16 17:31:49.000000","2019-01-16 12:04:58.000000"
Porto,"nuvens quebrados",N/A,N/A,N/A,N/A,"2019-01-16 07:57:02.000000","2019-01-16 17:31:52.000000","2019-01-16 13:05:00.000000"
Porto,N/A,névoa,N/A,N/A,N/A,"2019-01-16 07:57:01.000000","2019-01-16 17:31:55.000000","2019-01-16 14:04:59.000000"
Porto,N/A,N/A,N/A,N/A,"chuva fraca","2019-01-16 07:57:00.000000","2019-01-16 17:31:58.000000","2019-01-16 15:04:59.000000"
