"road_num","Month","Day","Hour","Minute","weekday","temperature","precipitation","current_luminosity","thunderstorm","magnitude_of_delay_desc","wind_speed","speed_diff"
1,2,1,0,0,6,8,0,0,0,0,0,1
2,2,1,0,0,6,8,0,0,0,0,0,1
3,2,1,0,0,6,8,0,0,0,0,0,1
4,2,1,0,0,6,8,0,0,0,0,0,1
1,2,1,0,20,6,8,0,0,0,0,0,1
2,2,1,0,20,6,8,0,0,0,0,0,1
3,2,1,0,20,6,8,0,0,0,0,0,1
4,2,1,0,20,6,8,0,0,0,0,0,1
1,2,1,0,40,6,8,0,0,0,0,0,1
2,2,1,0,40,6,8,0,0,0,0,0,1
3,2,1,0,40,6,8,0,0,0,0,0,1
4,2,1,0,40,6,8,0,0,0,0,0,1
1,2,1,1,0,6,8,0,0,0,0,0,1
2,2,1,1,0,6,8,0,0,0,0,0,1
3,2,1,1,0,6,8,0,0,0,0,0,1
4,2,1,1,0,6,8,0,0,0,0,0,1
1,2,1,1,20,6,8,0,0,0,0,0,1
2,2,1,1,20,6,8,0,0,0,0,0,1
3,2,1,1,20,6,8,0,0,0,0,0,1
4,2,1,1,20,6,8,0,0,0,0,0,1
1,2,1,1,40,6,8,0,0,0,0,0,1
2,2,1,1,40,6,8,0,0,0,0,0,1
3,2,1,1,40,6,8,0,0,0,0,0,1
4,2,1,1,40,6,8,0,0,0,0,0,1
1,2,1,2,0,6,8,0,0,0,0,0,1
2,2,1,2,0,6,8,0,0,0,0,0,1
3,2,1,2,0,6,8,0,0,0,0,0,1
4,2,1,2,0,6,8,0,0,0,0,0,1
1,2,1,2,20,6,8,0,0,0,0,0,1
2,2,1,2,20,6,8,0,0,0,0,0,1
3,2,1,2,20,6,8,0,0,0,0,0,1
4,2,1,2,20,6,8,0,0,0,0,0,1
1,2,1,2,40,6,8,0,0,0,0,0,1
2,2,1,2,40,6,8,0,0,0,0,0,1
3,2,1,2,40,6,8,0,0,0,0,0,1
4,2,1,2,40,6,8,0,0,0,0,0,1
1,2,1,3,0,6,8,0,0,0,0,0,1
2,2,1,3,0,6,8,0,0,0,0,0,1
3,2,1,3,0,6,8,0,0,0,0,0,1
4,2,1,3,0,6,8,0,0,0,0,0,1
1,2,1,3,20,6,8,0,0,0,0,0,1
2,2,1,3,20,6,8,0,0,0,0,0,1
3,2,1,3,20,6,8,0,0,0,0,0,1
4,2,1,3,20,6,8,0,0,0,0,0,0.266666666666667
1,2,1,3,40,6,8,0,0,0,0,0,1
2,2,1,3,40,6,8,0,0,0,0,0,1
3,2,1,3,40,6,8,0,0,0,0,0,1
4,2,1,3,40,6,8,0,0,0,0,0,0.266666666666667
1,2,1,4,0,6,8,0,0,0,0,0,1
2,2,1,4,0,6,8,0,0,0,0,0,1
3,2,1,4,0,6,8,0,0,0,0,0,1
4,2,1,4,0,6,8,0,0,0,0,0,1
1,2,1,4,20,6,8,0,0,0,0,0,1
2,2,1,4,20,6,8,0,0,0,0,0,1
3,2,1,4,20,6,8,0,0,0,0,0,1
4,2,1,4,20,6,8,0,0,0,0,0,1
1,2,1,4,40,6,8,0,0,0,0,0,1
2,2,1,4,40,6,8,0,0,0,0,0,1
3,2,1,4,40,6,8,0,0,0,0,0,1
4,2,1,4,40,6,8,0,0,0,0,0,1
1,2,1,5,0,6,8,0,0,0,0,0,1
2,2,1,5,0,6,8,0,0,0,0,0,1
3,2,1,5,0,6,8,0,0,0,0,0,1
4,2,1,5,0,6,8,0,0,0,0,0,1
1,2,1,5,20,6,8,0,0,0,0,0,1
2,2,1,5,20,6,8,0,0,0,0,0,1
3,2,1,5,20,6,8,0,0,0,0,0,1
4,2,1,5,20,6,8,0,0,0,0,0,1
1,2,1,5,40,6,8,0,0,0,0,0,1
2,2,1,5,40,6,8,0,0,0,0,0,1
3,2,1,5,40,6,8,0,0,0,0,0,1
4,2,1,5,40,6,8,0,0,0,0,0,1
1,2,1,6,0,6,8,0,0,0,0,0,1
2,2,1,6,0,6,8,0,0,0,0,0,1
3,2,1,6,0,6,8,0,0,0,0,0,1
4,2,1,6,0,6,8,0,0,0,0,0,1
